age,gross_monthly_income,years_continuous_experience,current_debt_to_income_ratio,number_of_dependents,home_ownership,default_status
34,1500,13,0.609,3,1,1
41,6200,21,0.295,0,0,1
49,2100,30,0.147,2,0,0
32,4600,13,0.184,2,0,1
35,4700,10,0.35,0,0,0
24,6600,5,0.453,2,0,1
23,11500,7,0.415,2,0,1
47,2100,24,0.088,1,0,0
54,5000,34,0.243,0,0,0
37,3700,16,0.156,0,1,0
50,6100,23,0.135,1,1,0
42,5200,22,0.238,2,0,0
30,3200,8,0.347,3,1,0
42,3700,26,0.12,0,1,0
56,2800,36,0.131,1,0,0
37,7800,14,0.21,0,0,0
56,7200,40,0.475,1,0,0
20,6300,0,0.284,4,0,1
47,4000,26,0.111,2,1,0
39,3100,18,0.486,4,0,1
34,2100,9,0.23,0,0,0
39,5500,17,0.253,0,0,0
20,2000,0,0.292,0,0,1
35,13500,18,0.124,0,1,0
42,2100,21,0.113,2,0,0
55,6100,34,0.028,1,0,0
31,11000,15,0.019,3,0,1
28,5500,4,0.352,2,0,1
31,4000,1,0.202,1,1,0
48,2700,28,0.004,0,0,0
41,2000,18,0.613,0,0,0
31,6500,10,0.351,2,1,0
44,11900,26,0.176,0,1,0
39,3600,23,0.562,2,0,0
49,2500,31,0.356,0,0,0
29,900,13,0.241,1,1,0
34,2200,7,0.06,1,0,0
33,4000,13,0.219,2,0,1
20,9600,1,0.221,2,1,0
41,6700,17,0.153,0,0,0
41,5800,25,0.27,2,1,0
38,3700,21,0.405,1,0,0
35,3100,14,0.22,0,0,0
21,8500,0,0.058,3,0,1
32,4600,9,0.122,2,0,1
33,1200,12,0.641,4,0,1
28,2600,7,0.048,0,0,0
36,2600,14,0.271,3,0,0
42,3300,21,0.215,0,0,0
60,7900,44,0.336,3,0,0
40,4200,19,0.241,2,0,1
41,4600,25,0.215,2,0,1
37,9600,16,0.411,2,1,0
20,2400,1,0.353,0,0,0
37,11900,6,0.213,2,1,0
38,2900,18,0.272,0,1,0
67,6200,50,0.511,2,0,0
35,3700,15,0.257,3,1,0
41,4800,18,0.454,0,1,0
37,5400,10,0.458,2,0,1
23,5000,5,0.123,2,0,1
51,3300,35,0.123,2,0,0
47,2400,23,0.32,2,0,0
47,22600,31,0.369,1,1,0
27,3000,8,0.158,2,0,0
54,7900,35,0.324,2,1,0
21,1400,1,0.359,2,0,1
45,4000,22,0.026,1,0,0
64,5400,46,0.363,1,1,0
26,5200,7,0.16,1,1,0
31,900,11,0.271,1,0,0
39,4900,18,0.05,1,0,0
31,2000,10,0.171,0,0,0
20,4400,0,0.241,0,1,0
38,2400,14,0.294,0,1,0
25,2300,3,0.194,3,1,1
43,3900,21,0.23,1,0,0
26,2100,10,0.353,1,0,0
56,3900,35,0.282,1,1,0
28,1900,6,0.103,1,0,0
34,1400,11,0.087,4,0,1
47,9100,29,0.404,0,0,0
23,1800,5,0.371,2,1,0
40,4200,22,0.318,0,0,0
53,7800,30,0.24,0,0,0
20,2500,0,0.174,1,0,0
40,2800,21,0.147,1,1,0
41,5100,17,0.344,1,0,0
47,9400,26,0.125,3,0,0
23,1900,3,0.293,3,0,1
22,3400,2,0.347,0,0,0
44,1600,21,0.108,1,1,0
41,3600,19,0.217,2,1,0
41,4200,11,0.347,1,0,1
42,2900,25,0.238,0,0,0
29,3000,6,0.047,1,0,0
40,2000,22,0.528,1,1,0
41,4900,24,0.253,1,1,0
29,7700,9,0.119,1,0,1
60,2800,39,0.526,0,0,0
43,2800,11,0.087,1,0,0
23,5100,3,0.337,1,0,0
45,10200,29,0.261,1,1,0
26,1600,4,0.167,0,1,0
47,4600,31,0.085,3,0,1
51,6000,31,0.424,2,1,0
28,3700,7,0.208,0,0,0
49,1000,25,0.422,0,0,0
42,6000,18,0.031,0,1,0
47,12400,29,0.389,2,1,0
60,5800,40,0.452,0,1,0
35,2400,18,0.336,2,1,0
28,3100,12,0.17,1,0,0
27,11200,5,0.192,1,1,0
28,7200,12,0.274,1,1,0
37,6500,18,0.234,2,0,0
42,5900,25,0.174,0,0,0
41,2900,18,0.465,1,0,1
47,4000,19,0.132,2,0,0
38,4500,22,0.47,0,1,0
55,7600,39,0.176,1,0,0
34,10600,14,0.267,2,1,0
70,11400,49,0.38,3,0,0
45,2100,24,0.129,0,0,0
27,4600,8,0.149,0,0,0
25,6100,5,0.206,0,1,0
43,6700,21,0.267,1,1,0
35,2800,10,0.587,0,0,0
46,28700,30,0.033,0,1,0
43,2200,24,0.179,0,0,0
37,2300,16,0.242,0,1,0
27,4700,10,0.35,1,0,1
20,13000,0,0.205,1,0,0
32,2600,14,0.094,1,0,0
48,4200,28,0.234,1,1,0
40,8400,17,0.118,1,0,0
23,3800,5,0.417,1,1,0
40,3900,24,0.592,0,1,0
42,6600,23,0.258,3,0,0
27,4400,2,0.08,3,0,1
39,8500,20,0.11,0,1,0
38,10000,21,0.171,2,1,0
24,4400,0,0.487,3,0,0
42,5500,23,0.115,0,1,0
44,5400,26,0.094,0,0,0
50,6700,29,0.043,1,0,0
50,5000,26,0.284,1,1,0
21,3600,0,0.079,0,0,0
26,7700,2,0.09,0,0,0
44,11100,19,0.421,0,0,0
44,2000,26,0.301,2,1,0
44,5000,28,0.315,2,1,0
75,3900,50,0.139,2,1,0
44,3900,23,0.495,1,1,0
51,6600,35,0.41,1,0,0
49,7400,29,0.247,2,0,0
45,4400,23,0.115,2,0,0
34,1400,12,0.528,1,1,0
47,2600,24,0.095,0,1,0
28,6700,6,0.258,0,0,0
35,1000,17,0.065,2,0,1
32,8700,14,0.539,1,1,0
38,6400,22,0.22,1,0,0
65,11700,37,0.08,0,0,0
20,3200,0,0.063,1,0,1
46,1500,26,0.447,5,0,1
20,4900,3,0.157,1,0,1
32,7800,0,0.024,2,0,1
51,9100,35,0.196,1,0,0
38,3000,19,0.728,0,0,1
25,3900,3,0.178,2,0,0
29,2800,6,0.697,0,0,1
46,2800,22,0.567,0,0,1
29,6600,1,0.315,4,0,1
40,2200,17,0.145,0,0,0
38,2700,22,0.354,2,0,0
30,2200,11,0.211,1,0,1
63,2300,41,0.314,1,0,0
45,4800,16,0.123,3,0,0
20,7700,4,0.147,0,1,0
40,3900,15,0.36,1,0,1
30,1700,9,0.303,2,0,0
48,7800,24,0.032,3,1,0
28,11000,8,0.365,2,0,0
36,3100,19,0.236,0,0,1
44,3400,20,0.124,0,1,0
48,6600,25,0.453,0,0,0
23,9600,0,0.198,0,0,0
33,3100,13,0.231,3,1,0
32,1900,14,0.397,2,0,1
30,6200,14,0.196,2,0,0
59,8500,35,0.038,5,1,0
42,4600,20,0.115,4,0,0
22,2800,5,0.439,1,0,1
49,9200,31,0.087,1,1,0
63,7800,44,0.311,1,1,0
50,3300,34,0.303,3,0,0
20,3800,3,0.329,2,0,1
32,1900,16,0.246,2,0,1
53,7800,34,0.11,1,1,0
29,3500,11,0.196,0,0,0
43,3700,27,0.199,0,1,0
47,4400,18,0.504,1,1,0
26,3700,0,0.393,1,0,0
37,7800,20,0.11,3,0,0
20,5200,0,0.37,2,1,1
25,3400,3,0.066,0,1,0
34,6500,9,0.28,1,0,0
23,4900,6,0.269,2,0,0
57,3900,32,0.135,3,0,0
20,3500,2,0.064,3,0,1
32,4000,16,0.123,0,0,0
39,5900,16,0.123,2,1,0
55,4000,29,0.128,2,0,0
20,2900,0,0.37,1,0,0
51,17100,35,0.03,1,0,0
38,7600,15,0.448,1,0,1
26,2500,7,0.116,2,0,0
43,6300,19,0.302,3,1,0
40,5100,24,0.354,1,0,1
30,5400,14,0.451,1,1,0
38,5000,21,0.373,2,0,0
33,8500,12,0.163,0,0,0
39,5700,21,0.136,0,1,0
45,4500,22,0.389,0,0,0
57,9500,32,0.391,2,0,0
23,4200,0,0.266,0,0,0
63,5700,36,0.114,1,1,0
20,4400,0,0.213,1,0,1
36,4200,20,0.348,2,1,0
45,4600,19,0.101,0,1,0
41,3300,23,0.32,1,0,0
30,2500,6,0.166,1,0,0
35,2200,8,0.154,1,0,0
32,1800,10,0.238,1,0,0
30,2500,14,0.466,3,0,0
48,4600,31,0.362,0,0,0
42,4700,16,0.312,0,0,0
29,3400,9,0.74,0,0,1
48,1200,27,0.467,0,1,0
41,11400,17,0.211,0,0,0
47,9100,24,0.198,0,1,0
45,6200,23,0.386,0,0,0
28,12500,8,0.283,0,0,1
31,2300,12,0.091,0,0,0
46,14400,22,0.12,0,0,0
45,2600,22,0.09,0,1,0
37,5100,18,0.115,1,0,0
39,2000,14,0.165,0,0,0
53,5200,33,0.227,0,0,0
30,5300,13,0.168,2,1,0
44,4400,27,0.172,2,1,0
35,6900,18,0.315,2,0,1
35,4700,16,0.23,1,0,0
51,3600,26,0.483,2,1,0
47,3600,30,0.374,0,0,0
47,7800,26,0.318,2,1,0
53,3600,35,0.404,1,0,0
38,7800,19,0.105,3,1,0
46,10400,30,0.328,1,0,0
34,1500,14,0.154,0,0,0
41,9100,21,0.448,0,1,0
36,14500,13,0.232,2,0,0
39,5100,18,0.164,1,0,0
45,7100,29,0.5,0,0,0
28,7100,3,0.332,1,1,0
63,4700,42,0.207,2,0,0
25,4300,4,0.54,1,0,1
23,1800,3,0.577,1,0,1
51,5600,33,0.217,1,0,0
47,6500,26,0.038,0,1,0
45,6400,23,0.206,0,1,0
45,9400,29,0.335,1,0,0
37,2800,19,0.2,2,1,0
27,2900,8,0.102,2,0,0
38,13700,16,0.238,3,0,0
29,3500,4,0.166,0,0,0
49,5700,32,0.399,1,1,0
36,4200,17,0.056,2,0,0
28,2500,10,0.521,2,0,1
34,11600,17,0.396,2,0,1
42,3500,23,0.066,1,1,0
31,2100,7,0.122,0,0,0
28,3200,12,0.228,2,0,0
40,1300,18,0.531,2,1,0
40,3200,24,0.144,1,1,0
31,2300,13,0.199,1,0,0
32,6200,13,0.395,1,0,1
40,2800,13,0.277,2,0,0
20,6300,1,0.236,2,1,0
21,8900,5,0.111,1,0,1
29,6700,13,0.367,0,1,0
35,3800,14,0.505,4,0,1
41,4900,18,0.389,0,0,0
55,2100,33,0.258,1,0,0
48,4500,27,0.303,0,0,0
36,2500,11,0.186,1,0,0
37,6800,19,0.349,2,0,0
25,17200,1,0.29,1,1,0
37,6200,21,0.31,1,1,0
34,1300,17,0.203,1,0,0
41,3800,25,0.241,2,1,0
28,4300,9,0.167,0,1,1
44,4900,24,0.294,2,0,0
56,3300,35,0.217,2,1,0
36,5000,15,0.19,0,0,0
42,2200,25,0.769,1,0,1
46,2800,26,0.036,2,0,0
33,6500,17,0.316,1,0,0
40,2400,14,0.075,0,0,0
38,6200,19,0.239,2,0,0
39,2000,20,0.406,0,0,0
28,10600,1,0.117,2,1,0
38,2900,22,0.055,3,0,0
43,4300,27,0.33,3,0,0
55,6500,39,0.14,0,1,0
49,3500,29,0.109,0,1,0
63,6000,41,0.2,0,1,0
28,5400,5,0.568,0,0,0
48,7900,17,0.179,1,0,0
40,7700,24,0.153,2,0,1
64,5000,41,0.199,0,0,0
28,3700,10,0.095,1,1,0
27,16600,9,0.173,2,1,0
30,7400,12,0.488,3,0,1
20,2200,3,0.115,3,0,0
31,4100,4,0.12,2,0,0
28,3200,4,0.373,1,0,1
39,4200,18,0.402,0,1,0
42,2000,16,0.482,1,0,1
60,4300,44,0.047,2,1,0
49,15300,33,0.158,1,1,0
31,6200,15,0.38,2,0,0
27,900,9,0.088,0,0,0
43,9700,22,0.427,1,0,0
22,7100,1,0.387,2,1,0
59,4300,38,0.082,1,0,0
52,8100,36,0.169,2,1,0
32,2400,8,0.195,1,1,0
20,2700,0,0.326,1,0,0
54,12300,31,0.185,1,1,0
36,3900,20,0.139,0,1,0
52,1600,30,0.546,0,0,0
20,3700,4,0.175,1,0,0
30,4000,11,0.243,2,1,1
38,8900,15,0.319,2,1,0
38,4500,17,0.179,2,0,1
32,3300,15,0.349,1,0,0
45,8800,24,0.184,1,1,0
25,4300,9,0.582,1,0,0
36,2600,11,0.161,0,0,0
39,9000,19,0.188,1,1,0
44,5100,19,0.426,1,1,0
46,4900,28,0.458,2,0,0
24,4400,6,0.243,0,0,0
20,2000,3,0.606,0,0,0
53,3700,29,0.066,0,0,0
41,4600,23,0.236,1,1,0
29,3400,6,0.195,0,0,0
56,11400,37,0.24,1,0,0
39,5300,23,0.142,1,0,0
52,8700,34,0.256,4,0,1
38,4700,22,0.092,1,0,0
62,10400,41,0.212,1,1,0
59,7100,43,0.221,0,0,0
35,4200,11,0.285,1,0,0
49,4900,29,0.232,2,0,0
45,2800,25,0.185,1,1,0
54,6800,31,0.121,4,0,0
26,3700,2,0.327,1,0,1
46,3600,26,0.179,1,0,0
50,10000,33,0.339,2,0,0
20,1800,4,0.191,0,0,1
23,3000,5,0.112,0,0,0
20,6900,2,0.068,1,1,0
34,5100,13,0.146,0,0,0
46,4700,27,0.559,1,1,0
56,5900,33,0.078,2,0,0
38,5100,20,0.111,1,1,0
57,2200,37,0.239,0,1,0
21,3000,0,0.16,1,0,1
20,9600,0,0.213,2,0,1
37,3000,17,0.336,0,0,0
42,3900,24,0.513,2,0,0
37,3200,19,0.179,1,1,0
20,3600,3,0.607,1,0,1
36,3200,18,0.48,1,1,0
22,4900,0,0.145,0,0,1
46,5400,26,0.477,0,0,0
42,7700,26,0.125,0,0,0
26,1900,0,0.083,0,0,0
31,3300,9,0.113,3,1,0
25,3600,9,0.206,1,1,0
37,5900,18,0.034,2,0,0
49,3100,28,0.113,2,1,0
26,6300,0,0.051,3,0,0
44,10000,28,0.567,0,0,0
31,2200,7,0.189,0,0,1
28,2800,2,0.357,0,1,0
36,3200,18,0.169,1,0,1
25,19000,6,0.191,1,0,0
31,3300,15,0.07,1,0,0
23,10400,3,0.13,2,1,0
61,2600,41,0.285,1,0,0
38,2400,15,0.068,2,0,0
29,2500,4,0.157,0,1,0
40,2800,22,0.269,0,0,0
36,3900,20,0.094,2,0,0
35,2800,15,0.498,1,0,1
45,2800,23,0.217,0,0,0
47,9700,26,0.313,2,0,0
31,8700,12,0.195,2,0,0
31,7200,10,0.286,0,1,0
34,5400,7,0.157,2,0,0
20,3800,0,0.098,3,0,1
20,2700,1,0.095,0,0,0
54,3000,36,0.327,0,1,0
57,6600,37,0.204,1,0,0
35,2000,8,0.153,0,0,0
44,2600,24,0.081,0,1,0
41,9200,21,0.194,1,0,0
74,18500,50,0.181,0,1,0
51,6100,26,0.31,0,0,0
36,7800,8,0.302,2,0,0
26,3300,4,0.449,2,0,1
20,1600,0,0.05,0,0,1
40,6600,19,0.282,2,0,0
28,5900,12,0.186,0,1,0
20,3800,0,0.207,0,1,0
30,3400,9,0.161,2,0,0
25,6700,3,0.071,0,0,0
58,3000,40,0.141,4,0,0
48,3100,29,0.225,0,0,0
37,2400,18,0.307,1,1,0
55,5200,30,0.32,1,0,0
38,2400,19,0.101,1,0,0
27,2400,0,0.241,0,0,0
56,3400,34,0.291,3,1,0
44,4200,28,0.246,0,0,0
25,1600,5,0.032,2,1,0
35,4600,17,0.249,1,0,0
27,8800,11,0.16,0,1,0
21,3900,0,0.175,4,1,1
49,12200,26,0.383,2,0,0
60,11800,37,0.358,4,0,0
21,5800,0,0.171,0,0,0
44,5100,28,0.2,1,1,0
30,4200,11,0.102,1,1,0
32,6400,8,0.073,1,0,0
30,3400,14,0.425,3,0,1
27,1400,11,0.522,1,0,0
38,6000,18,0.388,3,1,1
28,2000,8,0.626,0,0,0
41,2500,20,0.288,1,0,0
37,4200,14,0.231,0,1,0
35,3900,12,0.313,1,0,1
27,1700,5,0.281,0,1,0
31,4300,6,0.267,1,1,0
47,9000,31,0.225,1,0,1
44,2400,21,0.264,2,1,0
26,8100,3,0.336,4,1,1
39,1800,23,0.115,2,1,0
47,18000,31,0.315,2,1,0
20,2900,2,0.344,0,0,1
44,5300,26,0.048,2,1,0
30,1300,6,0.304,1,0,1
44,4600,26,0.397,3,0,0
28,4800,11,0.133,2,1,0
20,3600,2,0.365,1,0,0
20,2600,0,0.486,2,0,1
38,2500,17,0.282,3,1,0
41,9100,21,0.334,0,0,0
27,4000,7,0.092,4,0,1
45,11400,19,0.36,0,1,0
20,2800,2,0.271,1,0,1
37,3200,11,0.459,2,0,1
23,6000,2,0.38,4,0,1
30,1600,10,0.257,0,0,0
38,2000,7,0.274,1,0,1
27,8000,11,0.181,1,0,0
33,2100,14,0.279,1,0,0
50,1700,34,0.517,3,1,1
31,12200,7,0.216,1,0,0
48,2000,21,0.513,1,0,0
24,4100,0,0.508,0,0,0
44,4700,19,0.13,2,0,0
55,1200,35,0.23,0,1,0
20,3100,1,0.162,1,0,1
28,5500,12,0.417,0,0,0
44,5300,15,0.247,1,0,0
35,7300,13,0.257,2,0,0
42,3700,23,0.416,2,0,1
30,5900,4,0.58,2,0,0
39,3100,22,0.6,3,1,1
36,1900,14,0.22,0,1,0
52,2400,32,0.53,2,1,0
41,1800,18,0.373,0,1,0
42,8500,22,0.353,2,0,0
33,1800,17,0.632,0,1,0
32,4900,11,0.105,3,0,0
32,3400,7,0.228,1,0,0
42,4300,22,0.506,1,0,0
32,9100,8,0.2,1,0,0
41,3700,25,0.331,0,0,0
62,8100,42,0.171,1,1,0
48,5100,30,0.204,1,1,0
34,3800,11,0.357,0,1,0
52,20100,31,0.323,2,1,0
33,1700,10,0.192,0,0,0
20,7900,0,0.383,1,0,0
25,5500,2,0.231,2,0,0
20,2700,0,0.392,2,0,1
33,11600,16,0.237,1,1,0
38,1500,18,0.334,0,0,0
58,4000,40,0.252,2,1,0
41,2300,22,0.081,2,1,0
35,5600,16,0.209,3,0,1
47,2600,30,0.28,2,0,0
20,4900,4,0.239,0,0,0
40,4200,22,0.637,3,0,1
47,3600,26,0.404,0,1,0
20,4800,4,0.323,0,0,0
51,4300,30,0.271,1,0,0
42,2200,14,0.062,3,0,0
33,21600,8,0.205,0,0,0
45,3300,18,0.393,0,0,0
65,1500,43,0.176,1,0,0
40,2600,15,0.173,1,1,0
40,2200,22,0.115,0,1,0
32,7000,14,0.124,1,1,0
27,5000,11,0.762,2,0,1
47,5900,22,0.391,2,0,0
27,2900,0,0.336,0,1,0
38,3900,20,0.329,1,0,1
32,3400,13,0.59,0,0,0
43,4600,26,0.465,0,0,0
42,7500,20,0.049,3,0,1
50,5900,25,0.14,2,0,0
31,5800,15,0.338,1,0,1
34,5600,12,0.291,2,0,0
26,6700,7,0.266,0,0,0
32,4900,11,0.102,1,0,0
42,5600,20,0.222,0,0,0
47,9900,27,0.346,2,0,0
26,2600,6,0.192,1,0,0
48,3000,28,0.091,0,0,0
54,2500,30,0.426,1,0,0
42,5100,20,0.084,1,0,0
60,1800,39,0.421,3,0,0
28,5500,12,0.233,0,0,0
23,3600,4,0.239,0,1,0
20,7200,0,0.357,1,0,0
55,3400,34,0.192,2,1,0
45,4100,22,0.512,2,1,0
37,7900,9,0.139,3,0,0
41,10000,16,0.341,1,0,0
24,2500,3,0.177,2,0,1
67,6600,49,0.298,0,1,0
39,5500,23,0.29,1,1,0
39,5700,19,0.333,0,1,0
46,4100,27,0.104,0,0,0
43,10000,21,0.42,0,0,0
40,1500,20,0.415,1,0,0
28,3100,9,0.33,0,0,0
43,6400,27,0.166,1,0,0
60,7400,43,0.163,1,1,0
54,11500,32,0.407,1,1,0
57,10300,30,0.11,1,0,0
31,3500,11,0.199,1,0,1
26,8300,4,0.529,1,0,1
36,2800,12,0.211,0,0,0
38,8100,21,0.318,2,0,1
51,14700,29,0.184,1,0,0
20,7700,2,0.523,3,0,1
56,5500,32,0.564,1,1,0
36,3600,15,0.458,1,1,0
32,1700,10,0.309,0,0,0
25,4800,8,0.286,3,0,1
20,1900,0,0.405,0,1,1
47,2800,18,0.425,3,0,1
38,2300,22,0.268,2,1,0
22,2900,3,0.423,1,1,1
22,3600,1,0.311,4,0,1
33,4800,9,0.087,3,1,0
58,3800,40,0.179,4,1,0
34,8500,18,0.324,2,1,1
20,3200,0,0.338,1,0,1
35,2600,11,0.348,0,1,0
34,5100,18,0.561,1,0,0
20,12100,2,0.073,1,0,0
37,5100,10,0.326,1,1,0
35,3200,9,0.48,1,0,1
46,1900,22,0.342,3,0,1
60,4800,40,0.176,2,1,0
51,5800,30,0.129,0,0,0
34,3400,14,0.106,2,0,0
24,1300,0,0.201,1,1,0
68,3600,50,0.334,1,1,0
38,11000,21,0.227,0,0,0
38,10000,13,0.618,0,1,0
37,2500,17,0.098,0,0,0
40,6500,14,0.227,1,1,0
36,2200,18,0.133,1,0,0
31,9700,11,0.067,2,0,0
31,4900,14,0.691,1,0,1
37,7700,16,0.46,3,0,1
31,1500,15,0.295,2,0,0
29,6200,10,0.404,0,0,0
39,4600,23,0.148,2,0,0
34,6900,11,0.133,0,0,0
56,8900,33,0.03,1,0,0
20,4000,4,0.392,1,0,1
51,3300,25,0.501,0,1,0
52,7400,22,0.202,1,0,0
20,3500,0,0.083,0,0,0
33,2600,15,0.388,1,0,0
33,2100,1,0.339,1,0,1
21,1600,5,0.376,2,0,0
28,2900,7,0.169,0,0,0
24,7400,3,0.217,2,0,0
59,5800,33,0.464,0,0,0
49,3500,27,0.126,2,0,0
53,8400,34,0.366,2,1,0
46,3000,29,0.274,1,0,0
24,4100,5,0.304,0,0,1
31,3900,15,0.414,2,0,1
43,7400,22,0.578,0,0,1
23,1500,5,0.263,4,0,1
46,3000,30,0.086,2,0,0
35,1600,9,0.032,0,0,0
33,3600,14,0.452,0,0,0
46,10300,30,0.173,3,0,0
43,3500,23,0.261,1,1,0
33,3100,12,0.055,2,0,0
51,8800,35,0.126,1,0,0
25,7200,3,0.189,0,0,0
45,4800,29,0.435,1,1,0
45,6700,18,0.212,1,0,0
34,2200,11,0.57,1,0,0
41,10600,22,0.113,1,1,0
22,13900,4,0.076,2,1,0
49,6800,29,0.234,1,0,0
35,1200,12,0.24,0,0,0
31,3000,11,0.156,0,1,0
50,7300,30,0.292,2,0,0
29,3100,8,0.219,2,0,0
21,8100,3,0.176,4,0,0
20,5300,1,0.439,1,0,1
45,3300,29,0.415,1,1,0
22,3700,0,0.37,1,0,1
59,3100,37,0.638,2,0,1
20,3400,3,0.183,1,0,0
58,3600,30,0.371,1,0,0
40,9200,19,0.467,0,0,0
36,16200,20,0.291,0,0,0
31,1600,7,0.517,1,1,0
42,1400,20,0.197,0,0,0
37,3700,15,0.313,2,1,0
51,2100,32,0.308,1,1,0
39,4500,17,0.099,0,0,0
39,7100,20,0.259,1,0,0
33,10000,10,0.131,2,0,0
37,5200,21,0.444,0,0,1
41,4100,22,0.144,0,1,0
20,1100,0,0.59,0,0,0
21,3900,4,0.478,2,1,1
46,5100,28,0.068,1,1,0
40,6700,21,0.131,0,1,0
35,3000,19,0.194,0,0,0
38,3600,22,0.358,1,0,0
42,1900,22,0.534,1,0,0
31,1000,10,0.308,1,0,1
28,2100,8,0.551,0,0,1
40,1800,20,0.217,1,1,0
26,4800,5,0.27,0,0,0
42,3300,17,0.227,1,0,0
20,2600,0,0.484,3,0,1
50,2800,32,0.23,0,0,0
43,1000,24,0.534,3,0,1
41,11000,18,0.3,1,0,0
49,2600,23,0.144,3,0,0
57,4200,39,0.331,1,1,0
50,2000,29,0.235,1,0,0
20,6500,0,0.384,0,1,0
22,4200,5,0.458,0,1,1
30,2400,9,0.445,1,0,1
38,3700,22,0.328,2,0,1
44,13500,28,0.184,0,1,0
29,3800,7,0.276,1,0,0
40,4200,21,0.121,2,1,0
28,2300,7,0.609,1,1,0
30,1400,10,0.221,0,0,0
21,3500,4,0.351,1,1,0
26,4700,6,0.07,0,0,0
21,7400,5,0.288,3,0,1
26,900,0,0.071,0,0,0
50,2700,34,0.573,0,0,0
26,2800,6,0.213,2,0,0
69,5800,50,0.351,0,1,0
43,4100,20,0.35,0,0,0
40,4300,21,0.098,5,0,0
27,5200,9,0.19,0,0,0
46,2700,22,0.206,0,0,0
31,7200,10,0.04,2,0,1
39,5600,16,0.349,3,0,1
68,4900,50,0.055,0,1,0
36,11900,20,0.351,3,1,0
51,12800,30,0.288,0,0,0
29,7200,10,0.438,1,0,0
37,900,14,0.034,0,1,0
59,14000,39,0.487,3,1,0
30,6600,9,0.02,1,0,0
59,18600,43,0.292,1,0,0
46,9400,18,0.065,0,1,0
31,10700,11,0.207,0,1,0
45,7900,22,0.066,3,1,0
49,11500,32,0.166,1,1,0
45,15500,23,0.29,2,1,0
20,4300,4,0.307,0,0,1
29,1500,7,0.206,1,1,0
35,3600,16,0.473,0,1,0
37,5500,16,0.073,1,1,0
45,4800,22,0.064,2,0,0
40,2200,24,0.072,2,1,0
21,1500,3,0.23,1,0,0
42,2900,20,0.053,2,0,0
45,7100,16,0.255,2,0,0
44,12200,24,0.197,0,1,0
50,8400,27,0.168,0,1,0
48,9300,28,0.071,0,1,0
43,4200,15,0.417,0,0,1
37,1600,21,0.252,1,0,0
20,2800,0,0.229,0,0,0
43,4100,27,0.163,3,1,0
40,3500,24,0.278,5,1,0
41,4700,19,0.536,0,0,0
22,4800,1,0.128,1,1,0
25,6600,6,0.13,3,0,1
50,4300,30,0.091,1,1,0
37,1300,4,0.29,0,0,0
46,3600,27,0.381,3,1,0
38,4400,15,0.106,0,0,0
38,9500,20,0.21,0,1,0
49,3500,27,0.204,0,1,0
31,5700,11,0.307,1,0,0
39,5400,20,0.32,1,0,0
32,3900,4,0.18,1,0,0
32,7000,7,0.076,1,0,0
34,2800,13,0.09,1,0,0
40,3400,24,0.145,3,0,0
32,4200,13,0.282,2,1,0
53,3200,22,0.108,2,1,0
27,5300,7,0.282,0,0,0
35,2700,10,0.281,2,0,1
32,4500,6,0.642,1,0,1
55,4800,34,0.496,0,0,0
40,5300,23,0.745,0,1,0
50,4000,34,0.317,1,0,0
20,3000,0,0.312,1,0,0
41,5100,24,0.11,1,0,0
